k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0.5,0.218950948,0.5,0,0.781049052,0,0,0,0.5,0.5,0,0.5,0,0.366515574,0,0.5,0.633484426
1,0.121036611,0.408634658,0,0.878963389,0.591365342,0,0.621036611,0.091365342,0.5,0.378963389,0.908634658,0.5,0,0,0,0.5,0.5,0.5
2,0.666666667,0.333333333,0,0.333333333,0.666666667,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0
3,0.303604871,0.303604871,0,0.696395129,0.696395129,0,0.803604871,0.196395129,0.5,0.196395129,0.803604871,0.5,0,0,0,0.5,0.5,0.5
4,0,0,0,0.5,0.5,0.5,0.305596708,0.305596708,0,0.694403292,0.694403292,0,0.805596708,0.194403292,0.5,0.194403292,0.805596708,0.5
5,0.306078077,0.306078077,0,0.693921923,0.693921923,0,0.806078077,0.193921923,0.5,0.193921923,0.806078077,0.5,0,0,0,0.5,0.5,0.5
6,0.5,0,0.356478386,0,0.5,0.643521614,0,0,0,0.5,0.5,0,0,0.5,0.204008072,0.5,0,0.795991928
7,0.303224292,0.303224292,0,0.696775708,0.696775708,0,0.803224292,0.196775708,0.5,0.196775708,0.803224292,0.5,0,0,0,0.5,0.5,0.5
8,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5
9,0.30210784,0.30210784,0,0.69789216,0.69789216,0,0.80210784,0.19789216,0.5,0.19789216,0.80210784,0.5,0,0,0,0.5,0.5,0.5
10,0,0,0,0.651847374,0.348152626,0.348152626,0.348152626,0.651847374,0.348152626,0.348152626,0.348152626,0.651847374,0.651847374,0.651847374,0.651847374,0.5,0.5,0.5
11,0,0,0,0.5,0.5,0.5,0.296319244,0.296319244,0,0.703680756,0.703680756,0,0.796319244,0.203680756,0.5,0.203680756,0.796319244,0.5
12,0,0,0,0,0,0.5,0.400816919,0.599183081,0.25,0.599183081,0.400816919,0.75,0.694367881,0.305632119,0.25,0.305632119,0.694367881,0.75
13,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.278547633,0.5,0.5,0.721452367
